shipment_id,ship_date,expected_delivery,actual_delivery,region,carrier,warehouse,customer,distance_km,freight_cost,weight_kg,shipment_status
SHP-00249,2025-05-25,2025-05-28,2025-05-28,South,FastShip,WH-06,Alpha Corp,210.97,147.62,16.5,Delivered
SHP-00024,2024-07-06,2024-07-09,2024-07-09,Central,ReliableCo,WH-04,Acme Enterprises,160.58,107.84,7.21,Delayed
SHP-04726,2024-07-06,2024-07-08,2024-07-08,East,FastShip,WH-05,Global Corp,207.49,193.58,12.8,Delivered
SHP-03248,2024-12-06,2024-12-09,2024-12-10,West,ReliableCo,WH-03,Alpha Partners,185.38,130.05,,Delivered
SHP-00662,2025-03-26,2025-03-28,2025-03-28,West,ReliableCo,WH-02,Prime Industries,127.26,86.01,7.51,Delayed
SHP-01159,2024-08-09,2024-08-12,2024-08-12,Central,QuickMove,WH-07,Delta LLC,308.53,195.02,2.61,In Transit
SHP-02270,2025-01-07,2025-01-10,2025-01-10,Central,GlobalFreight,WH-03,Sigma Inc,200.04,56.07,6.18,Delivered
SHP-03650,2024-04-23,2024-04-26,2024-04-27,North,GlobalFreight,WH-03,Acme Industries,269.68,30.94,27.52,Delivered
SHP-03210,2024-12-21,2024-12-23,2024-12-23,North,FastShip,WH-09,Omega Solutions,133.09,121.01,25.81,Delivered
SHP-02132,2024-10-11,2024-10-12,2024-10-11,West,FastShip,WH-06,Alpha LLC,85.9,68.84,23.3,Delivered
SHP-02448,2024-03-02,2024-03-04,2024-03-04,North,QUICKMOVE,WH-01,Delta Group,95.68,74.85,25.4,Delivered
SHP-01488,2025-04-19,2025-04-20,2025-04-20,East,SpeedEx,WH-02,Sigma Group,90.01,102.09,20.45,Delivered
SHP-04184,2024-10-21,2024-10-23,2024-10-22,North,ReliableCo,WH-06,Delta Solutions,108.78,90.52,20.22,Delivered
SHP-04782,2024-06-10,2024-06-13,2024-06-13,west,QuickMove,WH-07,Prime Inc,159.37,113.78,12.22,Delivered
SHP-04232,2025-04-09,2025-04-10,2025-04-10,East,Fast Ship,WH-07,Beta Inc,289.95,212.87,15.27,Delivered
SHP-01035,2024-12-11,2024-12-14,2024-12-14,Central,GlobalFreight,WH-02,Prime Enterprises,236.62,205.24,20.15,Returned
SHP-02828,2024-09-29,2024-09-30,2024-09-30,Central,QuickMove,WH-07,Acme Industries,182.27,125.3,9.48,Delivered
SHP-00712,2024-10-01,2024-10-04,2024-10-04,Central,FastShip,WH-05,Delta LLC,278.68,212.26,11.18,Delivered
SHP-00107,2025-03-05,2025-03-08,2025-03-10,South,GlobalFreight,,Sigma Corp,360.4,111.91,32.47,Delivered
SHP-03787,2024-05-03,2024-05-04,2024-05-04,Central,FastShip,WH-10,Delta Ltd,178.2,117.59,22.48,Delivered
SHP-00531,2025-04-03,2025-04-06,2025-04-06,North,ReliableCo,,Delta Inc,1040.62,776.45,16.71,Delivered
SHP-04295,2025-04-02,2025-04-04,2025-04-03,East ,FastShip,WH-01,Omega Industries,210.24,216.87,16.21,Delivered
SHP-02276,2025-01-05,2025-01-06,2025-01-06,Central,QuickMove,WH-02,Acme Ltd,199.41,154.2,52.7,Delivered
SHP-00682,2024-05-25,2024-05-27,2024-05-27,East,ReliableCo,WH-04,Global Co,794.37,756.47,51.37,Delivered
SHP-00485,2024-04-03,2024-04-04,2024-04-05,South,ReliableCo,WH-08,Alpha Ltd,284.93,413.355,21.51,Delivered
SHP-02766,2025-02-16,2025-02-18,2025-02-18,South,FastShip,WH-05,Beta Solutions,120.46,70.06,40.65,Delivered
SHP-02022,2025-03-22,2025-03-24,2025-03-24,East,SpeedEx,WH-01,Delta LLC,101.98,61.58,16.66,Delivered
SHP-01889,2024-08-29,2024-08-30,2024-08-29,Central,ReliableCo,WH-04,Global Solutions,97.97,90.23,24.17,Delivered
SHP-00469,2024-10-24,2024-10-25,2024-10-26,North,FastShip,WH-08,Beta Solutions,203.4,212.87,53.36,Delivered
SHP-00430,2025-03-20,2025-03-22,2025-03-23,East,ReliableCo,WH-05,Alpha Enterprises,298.62,266.34,14.81,Delayed
SHP-00562,2025-06-12,2025-06-14,2025-06-14,Central,GlobalFreight,WH-07,Beta Corp,645.7,213.31,7.92,Delivered
SHP-00897,2024-10-03,2024-10-05,2024-10-04,West,GlobalFreight,WH-08,Omega Partners,255.38,-99.93,10.56,Delivered
SHP-01527,2024-04-30,2024-05-01,2024-05-01,Central,ReliableCo,WH-06,Sigma LLC,142.99,174.1,11.0,Delivered
SHP-03072,2025-06-01,2025-06-02,2025-06-03,North,QuickMove,WH-07,Prime Corp,225.03,163.05,7.45,Delivered
SHP-02165,2024-10-28,2024-10-31,2024-11-01,NORTH,FastShip,WH-10,Acme Enterprises,197.64,170.02,21.94,Delivered
SHP-00080,2025-05-01,2025-05-02,2025-05-03,South,ReliableCo,WH-09,Sigma Inc,368.4,300.19,18.34,Delivered
SHP-00735,2024-12-01,2024-12-03,2024-12-03,Central,ReliableCo,WH-04,Omega LLC,170.31,71.89,15.26,Delivered
SHP-01621,2024-01-08,2024-01-09,2024-01-09,East ,QuickMove,WH-03,Alpha Partners,370.9,226.77,15.91,Delivered
SHP-01589,2024-10-29,2024-10-30,2024-10-30,Central,SpeedEx,WH-06,Omega Ltd,108.61,63.07,17.04,Delivered
SHP-02438,2024-10-30,2024-11-02,2024-11-02,Central,GlobalFreight,WH-05,Sigma Enterprises,162.51,73.88,22.21,Returned
SHP-02759,2024-12-24,2024-12-26,2024-12-28,South,fastship,WH-03,Alpha Inc,89.96,,10.08,Delivered
SHP-02246,2024-08-09,2024-08-10,2024-08-10,East,QuickMove,WH-10,Delta Partners,203.5,140.44,35.82,Delivered
SHP-03283,2025-03-29,2025-03-30,2025-03-31,West,FastShip,WH-10,Alpha Corp,110.05,93.15,47.05,Delivered
SHP-00997,2024-11-20,2024-11-21,2024-11-20,Central,QuickMove,WH-10,Acme Corp,283.08,213.81,13.68,Delivered
SHP-00200,2024-02-08,2024-02-11,2024-02-12,Central,QuickMove,WH-03,Omega Co,238.95,167.94,20.51,Delivered
SHP-00692,2025-01-26,2025-01-29,2025-01-30,North,FastShip,WH-04,Sigma Solutions,284.83,240.67,27.61,Delivered
SHP-01095,2024-09-17,2024-09-19,2024-09-21,East,SpeedEx,WH-02,Prime Solutions,58.97,69.22,11.66,Delivered
SHP-04614,2025-05-26,2025-05-27,2025-05-28,Central,ReliableCo,WH-06,Alpha Ltd,154.37,105.79,28.54,Delivered
SHP-03725,2025-02-11,2025-02-12,2025-02-13,South,FastShip,WH-10,Omega Industries,377.34,313.15,10.9,Delayed
SHP-01102,2024-05-24,2024-05-27,2024-05-28,West,QuickMove,WH-01,Sigma Solutions,226.99,156.28,15.34,Delivered
SHP-04735,2024-05-14,2024-05-17,2024-05-18,West,ReliableCo,WH-01,Omega Co,414.44,417.61,36.11,Returned
SHP-02134,2024-03-11,2024-03-14,2024-03-15,Central,GlobalFreight,WH-02,Sigma Solutions,326.37,319.81,33.01,Delivered
SHP-00228,2024-05-29,2024-05-30,2024-06-01,South,QuickMove,WH-06,Sigma Inc,360.43,241.21,23.42,Returned
SHP-03306,2024-08-04,2024-08-08,2024-08-08,East,QuickMove,WH-09,Sigma Partners,461.3,364.34,17.91,Delivered
SHP-01719,2025-01-28,2025-01-31,2025-01-31,Central,GlobalFreight,WH-03,Omega Ltd,108.86,21.32,10.71,Delivered
SHP-03313,2024-03-14,2024-03-16,2024-03-15,West,SpeedEx,WH-01,Alpha Inc,531.79,514.5,21.5,Delivered
SHP-03144,2024-02-02,2024-02-03,2024-02-03,North,GlobalFreight,WH-08,Sigma Industries,296.28,245.23,9.22,Delivered
SHP-00085,2025-02-22,2025-02-25,2025-02-25,Central,ReliableCo,WH-07,Delta Ltd,149.11,124.15,13.54,Delivered
SHP-00334,2024-12-25,2024-12-28,2024-12-28,East,GlobalFreight,WH-01,Omega LLC,215.28,138.77,15.86,In Transit
SHP-03209,2025-03-21,2025-03-24,2025-03-25,Central,ReliableCo,WH-02,Delta Solutions,222.12,188.64,9.43,Delivered
SHP-03324,2024-01-11,2024-01-13,2024-01-14,Central,QuickMove,WH-03,Alpha Enterprises,339.85,286.84,42.65,In Transit
SHP-02852,2024-05-15,2024-05-17,2024-05-18,West,Reliable Co,WH-05,Sigma Industries,307.37,183.15,58.23,Delivered
SHP-01174,2025-05-25,2025-05-29,2025-05-30,North,SpeedEx,WH-08,Delta LLC,433.02,455.66,17.48,Delivered
SHP-00158,2024-01-18,2024-01-21,2024-01-21,East,GlobalFreight,WH-05,Alpha Enterprises,253.01,23.34,58.6,Delivered
SHP-03373,2025-03-03,2025-03-04,2025-03-04,NORTH,FastShip,WH-02,Acme Enterprises,287.08,208.46,34.18,Delivered
SHP-03682,2025-04-24,2025-04-27,2025-04-29,West,ReliableCo,WH-07,Acme Co,199.39,164.47,25.98,Delivered
SHP-00030,2024-02-25,2024-02-28,2024-02-27,North,FastShip,WH-01,Beta Inc,239.65,244.78,34.0,Delivered
SHP-03786,2024-11-03,2024-11-06,2024-11-06,West,GlobalFreight,WH-06,Sigma Solutions,345.76,28.73,24.98,Delivered
SHP-01104,2024-10-09,2024-10-11,2024-10-10,West,FastShip,WH-09,Prime Industries,129.66,114.11,30.76,Delivered
SHP-03916,2024-07-10,2024-07-14,2024-07-14,West,FastShip,,Delta LLC,409.97,361.78,21.79,Delivered
SHP-04640,2024-02-02,2024-02-05,2024-02-05,West,SpeedEx,WH-01,Sigma Group,179.53,310.58,22.07,In Transit
SHP-00743,2024-08-10,2024-08-12,2024-08-13,West,FastShip,WH-07,Omega Partners,82.08,46.22,19.14,Delivered
SHP-02950,2025-05-15,2025-05-16,2025-05-16,North,ReliableCo,WH-10,Beta Solutions,79.86,87.51,7.07,Delayed
SHP-00438,2025-06-14,2025-06-15,2025-06-15,East,GlobalFreight,WH-08,Beta Ltd,274.17,0.01,32.28,Delivered
SHP-02601,2025-04-25,2025-04-26,2025-04-26,North,GlobalFreight,WH-05,Omega Inc,235.57,226.03,20.29,Delayed
SHP-01193,2024-09-19,2024-09-22,2024-09-22,Central,GlobalFreight,WH-01,Acme Partners,453.8,274.34,10.15,Delivered
SHP-00684,2024-05-05,2024-05-08,2024-05-08,West,SpeedEx,WH-04,Omega Industries,343.0,547.69,13.85,In Transit
SHP-00417,2024-10-16,2024-10-20,2024-10-21,North,ReliableCo,WH-02,Prime Ltd,532.83,293.13,14.11,Delivered
SHP-02630,2024-12-26,2024-12-27,2024-12-28,East,SpeedEx,WH-09,Global Corp,124.34,0.0,88.42,Delivered
SHP-03266,2025-05-20,2025-05-22,2025-05-24,West,ReliableCo,WH-05,Prime LLC,335.14,282.48,44.93,Delivered
SHP-00832,2025-02-08,2025-02-12,2025-02-12,East,QuickMove,WH-02,Beta Partners,474.53,332.06,13.3,Delivered
SHP-02689,2024-09-19,2024-09-22,2024-09-22,South,QuickMove,WH-03,Sigma Ltd,63.49,40.76,20.04,Delivered
SHP-02788,2024-03-14,2024-03-17,2024-03-18,North,QuickMove,WH-01,Alpha Ltd,113.7,78.75,15.08,Delayed
SHP-04772,2025-05-02,2025-05-04,2025-05-05,East,QuickMove,WH-10,Prime LLC,155.72,111.19,27.24,Returned
SHP-01091,2025-05-18,2025-05-20,2025-05-20,North,QuickMove,WH-04,Alpha Corp,294.25,214.12,46.38,Delivered
SHP-02656,2024-08-08,2024-08-10,2024-08-10,West,GlobalFreight,WH-02,Global Corp,190.06,140.1,51.78,Delivered
SHP-04045,2024-04-13,2024-04-14,2024-04-16,South,ReliableCo,WH-07,,102.07,88.38,16.69,Delivered
SHP-00732,2025-01-01,2025-01-04,2025-01-04,North,ReliableCo,WH-04,Alpha Group,258.54,187.9,23.34,Delivered
SHP-00932,2024-04-12,2024-04-15,2024-04-16,North,FastShip,WH-05,Alpha Inc,168.47,155.76,42.47,Delivered
SHP-04910,2025-04-04,2025-04-05,2025-04-05,West,ReliableCo,WH-03,Delta Solutions,240.33,182.28,15.14,Delivered
SHP-00801,2024-09-01,2024-09-02,2024-09-03,South,ReliableCo,WH-04,Prime Enterprises,273.45,217.24,49.17,In Transit
SHP-01925,2024-02-08,2024-02-12,2024-02-12,North,SpeedEx,WH-08,Beta Solutions,454.41,550.39,36.43,Delivered
SHP-00950,2024-11-27,2024-11-30,2024-11-30,East,FastShip,WH-08,Alpha Industries,221.72,155.42,9.86,Delayed
SHP-01703,2025-06-07,2025-06-10,2025-06-10,West,FastShip,WH-02,Omega Group,195.32,178.96,7.36,Delivered
SHP-01418,2024-08-18,2024-08-19,2024-08-20,North,SpeedEx,WH-06,Global Partners,86.65,149.41,20.74,Delivered
SHP-01075,2024-11-25,2024-11-28,2024-11-29,East,SpeedEx,WH-02,Prime Co,129.92,110.93,11.53,Delivered
SHP-03519,2024-03-26,2024-03-29,2024-03-29,West,ReliableCo,WH-06,Sigma Co,138.36,166.39,14.11,Delivered
SHP-01176,2024-04-14,2024-04-15,2024-04-15,West,ReliableCo,WH-02,Global Solutions,134.87,119.12,30.1,Delivered
SHP-01520,2024-05-20,2024-05-23,2024-05-22,Central,QuickMove,WH-10,Sigma Inc,113.63,64.36,51.2,Delivered
SHP-00169,2024-04-18,2024-04-19,2024-04-19,Central,ReliableCo,WH-07,Global Group,199.22,93.33,11.65,Delayed
SHP-02513,2024-01-01,2024-01-03,2024-01-03,East,QuickMove,WH-10,Alpha Industries,321.99,168.34,31.37,Delivered
SHP-02119,2025-06-24,2025-06-26,2025-06-26,Central,SpeedEx,WH-07,Beta Partners,164.84,201.03,13.41,Delivered
SHP-00374,2024-06-27,2024-06-28,2024-06-29,South,FastShip,WH-09,Acme Industries,174.42,188.6,81.8,Delayed
SHP-00241,2025-04-22,2025-04-23,2025-04-24,East,QuickMove,WH-08,Delta Enterprises,-359.83,258.95,32.99,Delayed
SHP-00180,2024-07-25,2024-07-26,2024-07-27,South,ReliableCo,WH-01,Prime Inc,262.05,177.48,19.3,Delivered
SHP-01116,2025-01-15,2025-01-19,2025-01-20,East,ReliableCo,WH-10,Acme Enterprises,499.28,458.65,45.33,Delivered
SHP-02025,2024-04-28,2024-04-30,2024-05-01,West,GlobalFreight,WH-06,Omega Ltd,488.87,357.2,22.57,In Transit
SHP-02881,2024-03-30,2024-04-01,2024-03-31,East,SpeedEx,WH-07,Beta Partners,539.05,428.17,10.58,Delayed
SHP-04378,2024-11-19,2024-11-21,2024-11-22,East,ReliableCo,WH-03,Acme Enterprises,289.17,243.2,71.93,Delivered
SHP-02267,2024-02-12,2024-02-15,2024-02-15,Central,ReliableCo,WH-06,Delta Co,321.76,183.62,30.01,Delivered
SHP-04879,2024-12-05,2024-12-06,2024-12-06,West,SpeedEx,WH-05,Global Industries,167.19,212.46,26.47,Delivered
SHP-00297,2024-08-20,2024-08-23,2024-08-24,West,QUICKMOVE,WH-07,Omega Partners,135.13,81.31,17.16,Delivered
SHP-02836,2025-02-21,2025-02-22,2025-02-22,Central,SpeedEx,WH-08,Beta Ltd,233.46,228.78,20.51,Delivered
SHP-00654,2024-08-06,2024-08-08,2024-08-09,West,ReliableCo,WH-10,Global LLC,216.83,188.59,32.07,Delivered
SHP-04633,2024-04-04,2024-04-06,2024-04-05,East,ReliableCo,WH-06,Sigma Ltd,88.42,79.7,17.4,Delivered
SHP-01651,2025-06-03,2025-06-04,2025-06-04,Central,GlobalFreight,WH-07,Delta Enterprises,112.88,98.63,26.98,Delivered
SHP-00625,2025-02-25,2025-02-28,2025-02-28,South,QuickMove,WH-03,Sigma Group,206.98,161.25,25.48,Delivered
SHP-00229,2025-02-23,2025-02-26,2025-02-27,North,ReliableCo,WH-02,Sigma Group,284.19,207.72,24.42,Delayed
SHP-00725,2025-06-08,2025-06-11,2025-06-14,South,FastShip,WH-02,Global Corp,70.07,56.54,24.56,Delivered
SHP-01003,2025-05-02,2025-05-03,2025-05-03,East,ReliableCo,WH-08,Acme Corp,182.55,137.74,7.51,Delivered
SHP-03154,2025-01-25,2025-01-28,2025-01-30,South,SpeedEx,WH-01,Alpha Co,97.79,109.42,28.28,Delivered
SHP-00671,2024-10-11,2024-10-13,2024-10-13,central,GlobalFreight,WH-08,Global Co,367.78,184.32,33.53,Delivered
SHP-03761,2024-09-07,2024-09-09,2024-09-09,South,SpeedEx,WH-09,Delta LLC,191.97,129.86,11.1,In Transit
SHP-00240,2024-01-30,2024-02-01,2024-02-02,Central,ReliableCo,WH-03,Global Enterprises,300.56,259.67,27.48,Delayed
SHP-01345,2024-12-31,2025-01-04,2025-01-03,East,QuickMove,WH-08,Global Enterprises,1145.04,871.23,13.6,In Transit
SHP-01936,2024-01-04,2024-01-06,2024-01-07,West,QuickMove,WH-05,Alpha Group,374.52,238.52,30.56,Delivered
SHP-02234,2025-05-06,2025-05-09,2025-05-09,South,QuickMove,WH-03,Beta LLC,248.0,189.14,19.41,Returned
SHP-03857,2025-01-08,2025-01-09,2025-01-09,Central,ReliableCo,WH-09,Delta LLC,270.87,225.96,19.86,Delivered
SHP-00502,2024-10-28,2024-10-30,2024-10-30,Central,FastShip,WH-04,Omega Ltd,78.56,66.79,11.34,Delayed
SHP-01361,2025-04-01,2025-04-04,2025-04-04,East,GlobalFreight,WH-04,Sigma Group,170.52,58.8,13.75,Returned
SHP-03840,2025-05-31,2025-06-03,2025-06-03,Central,GlobalFreight,WH-07,Alpha Solutions,149.26,55.11,10.45,Returned
SHP-02100,2024-04-30,2024-05-04,2024-05-04,East ,FastShip,WH-04,Omega Corp,426.31,405.62,19.56,Returned
SHP-01920,2025-05-07,2025-05-08,2025-05-06,West,ReliableCo,WH-07,Alpha Ltd,215.14,131.18,10.88,Delivered
SHP-00777,2025-05-15,2025-05-16,2025-05-16,Central,FastShip,WH-01,Beta Industries,157.94,103.62,29.98,Delivered
SHP-04954,2025-05-09,2025-05-12,2025-05-12,East,QuickMove,WH-05,Beta Group,386.83,234.19,37.84,Delivered
SHP-00908,2024-08-27,2024-08-29,2024-08-29,South,FastShip,WH-08,Prime Inc,96.96,91.09,12.88,Delivered
SHP-00857,2024-08-28,2024-08-31,2024-09-01,North,FastShip,WH-07,Alpha Co,84.3,74.85,52.94,In Transit
SHP-01502,2024-07-15,2024-07-18,2024-07-18,North,QuickMove,WH-07,Omega Corp,215.19,143.72,6.62,Returned
SHP-01653,2025-03-09,2025-03-10,2025-03-11,north,Reliable Co,WH-02,Beta Industries,152.58,135.24,39.4,Delivered
SHP-00806,2025-05-13,2025-05-15,2025-05-16,Central,GlobalFreight,WH-02,Omega Solutions,130.31,131.76,32.68,Delivered
SHP-02124,2024-09-10,2024-09-12,2024-09-12,North,GlobalFreight,,Acme Corp,228.63,69.44,33.75,Delivered
SHP-02224,2024-05-22,2024-05-23,2024-05-23,West,QuickMove,WH-03,Omega Industries,139.56,82.02,84.1,Delivered
SHP-01514,2024-02-14,2024-02-17,2024-02-18,East,GlobalFreight,WH-05,Beta LLC,196.79,138.22,57.41,In Transit
SHP-04221,2024-02-06,2024-02-07,2024-02-07,East,GlobalFreight,WH-08,Alpha Solutions,137.11,50.78,19.48,Delivered
SHP-02537,2024-01-21,2024-01-24,2024-01-24,East ,ReliableCo,WH-01,Omega Enterprises,280.27,144.66,18.08,Delivered
SHP-02343,2025-04-09,2025-04-13,2025-04-14,North,ReliableCo,WH-04,Prime Solutions,439.27,197.16,19.4,In Transit
SHP-03536,2024-06-28,2024-07-01,2024-07-01,East,ReliableCo,WH-01,Acme Inc,223.3,201.59,19.46,Delivered
SHP-03797,2024-12-27,2024-12-29,2024-12-30,West,FastShip,WH-09,Alpha Industries,206.7,212.82,32.68,Delivered
SHP-03133,2024-04-08,2024-04-11,2024-04-12,North,ReliableCo,WH-03,Acme Industries,384.22,288.19,13.6,Delivered
SHP-04415,2025-03-04,2025-03-05,2025-03-06,West,SpeedEx,WH-05,Beta LLC,290.02,277.92,39.17,Delivered
SHP-00050,2025-03-05,2025-03-06,2025-03-06,Central,ReliableCo,WH-02,,143.98,109.66,9.02,Delivered
SHP-01030,2024-03-12,2024-03-14,2024-03-14,west,QuickMove,WH-08,Beta Industries,211.53,138.45,9.7,Delivered
SHP-02652,2025-02-24,2025-02-26,2025-02-26,South,SpeedEx,WH-10,Omega Enterprises,273.08,331.93,18.61,In Transit
SHP-00843,2024-11-13,2024-11-14,2024-11-14,North,QuickMove,,Acme Group,311.15,215.4,8.7,Delayed
SHP-01097,2024-08-11,2024-08-13,2024-08-13,South,FastShip,WH-09,Prime Enterprises,169.95,126.96,7.37,Delivered
SHP-00081,2024-09-17,2024-09-19,2024-09-20,North,ReliableCo,WH-04,Alpha Group,259.35,152.07,86.89,Delayed
SHP-01744,2024-02-10,2024-02-13,2024-02-14,Central,FastShip,WH-09,Sigma LLC,770.63,810.99,20.43,In Transit
SHP-01074,2024-10-09,2024-10-10,2024-10-10,West,FastShip,WH-03,Acme Partners,100.44,103.55,6.9,Delivered
SHP-02578,2025-02-22,2025-02-24,2025-02-25,Central,GlobalFreight,WH-05,Global Ltd,223.0,140.43,13.93,Delivered
SHP-04913,2024-07-07,2024-07-09,2024-07-09,South,QuickMove,WH-03,Acme Co,391.79,299.45,26.39,In Transit
SHP-00706,2024-03-11,2024-03-12,2024-03-13,West,QuickMove,WH-07,Acme Corp,206.99,143.88,7.51,Delivered
SHP-04005,2025-06-27,2025-06-28,2025-06-28,South,ReliableCo,WH-04,Omega Partners,122.82,109.39,40.29,Delayed
SHP-04855,2024-10-19,2024-10-22,2024-10-22,East,QuickMove,WH-07,Omega Inc,157.71,116.79,9.05,Delivered
SHP-03658,2024-03-01,2024-03-03,2024-03-05,west,GLOBALFREIGHT,WH-10,Beta Group,156.84,61.16,8.72,Delivered
SHP-02023,2024-09-07,2024-09-09,2024-09-09,Central,FastShip,WH-01,Prime Partners,318.69,220.67,36.32,Delivered
SHP-04778,2025-06-26,2025-06-29,2025-06-28,West,QuickMove,WH-08,Omega Partners,790.6,546.2,37.2,In Transit
SHP-03271,2024-04-16,2024-04-19,2024-04-19,East,GlobalFreight,WH-10,Acme Co,453.84,203.1,11.9,Delivered
SHP-00089,2024-10-21,2024-10-24,2024-10-24,Central,QuickMove,WH-01,Alpha Ltd,409.36,285.77,9.96,Delivered
SHP-01472,2024-06-17,2024-06-19,2024-06-21,South,FastShip,WH-10,Delta Corp,100.76,74.5,11.2,Delayed
SHP-03728,2025-03-04,2025-03-06,2025-03-05,West,GlobalFreight,WH-02,Prime Industries,530.73,261.38,5.33,Delivered
